year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,saleday
2013,Hyundai,Genesis,3.8,Sedan,automatic,KMHGC4DD0DU214801,CA,3.0,19893,White,Beige,remarketing by ge/film vehicle services,18800,22500,2014-12-16,Tuesday
2013,Hyundai,Elantra,GLS,Sedan,automatic,5NPDH4AE9DH243696,CA,44.0,19035,Gray,Gray,hyundai motor america/co car,12500,12600,2014-12-16,Tuesday
2013,Hyundai,Santa Fe,Sport 2.0T,Suv,automatic,5XYZWDLA5DG083054,CA,45.0,14076,Gray,Black,hyundai motor america/co car,19800,25500,2014-12-16,Tuesday
2013,Hyundai,Accent,SE,Hatchback,automatic,KMHCU5AE3DU079747,CA,46.0,27387,Silver,Black,hyundai motor america/co car,9950,11400,2014-12-16,Tuesday
2013,Hyundai,Sonata Hybrid,Base,Sedan,automatic,KMHEC4A46DA093060,CA,49.0,8495,White,Beige,hyundai motor america/co car,15500,16100,2014-12-16,Tuesday
2013,Hyundai,Sonata,GLS,Sedan,automatic,5NPEB4ACXDH740633,CA,43.0,22033,Silver,Gray,hyundai motor finance,13050,13700,2014-12-16,Tuesday
2013,Hyundai,Veloster,Base,Hatchback,automatic,KMHTC6AD7DU089181,CA,48.0,27532,Yellow,Black,hyundai buybacks,13100,11300,2014-12-16,Tuesday
2013,Hyundai,Elantra,GLS,Sedan,automatic,5NPDH4AE7DH345708,CA,2.0,33158,Gray,Beige,enterprise vehicle exchange / tra / rental / tulsa,11650,9400,2014-12-16,Tuesday
2013,Hyundai,Sonata,GLS,Sedan,automatic,5NPEB4AC2DH745910,CA,2.0,35518,Red,Beige,enterprise vehicle exchange / tra / rental / tulsa,12200,10700,2014-12-16,Tuesday
2013,Hyundai,Santa Fe,Limited,Suv,automatic,KM8SR4HF1DU031590,CA,5.0,15160,Blue,Gray,hyundai buybacks,23100,22200,2014-12-16,Tuesday
2013,Hyundai,Genesis Coupe,3.8 Track,Genesis Coupe,automatic,KMHHU6KJ0DU110296,CA,48.0,12730,Red,Black,hyundai motor america/co car,21400,23000,2014-12-16,Tuesday
2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,KMHEC4A48DA091908,CA,47.0,11798,Black,Gray,hyundai motor america/co car,18650,18400,2014-12-16,Tuesday
2013,Hyundai,Genesis,5.0 R-Spec,Sedan,automatic,KMHGC4DH6DU220492,CA,44.0,35995,Silver,Black,hyundai motor america/co car,25900,27200,2014-12-16,Tuesday
2013,Hyundai,Tucson,Limited,Suv,automatic,KM8JU3AC6DU590752,CA,44.0,32413,White,Beige,hyundai motor america/co car,16150,17500,2014-12-16,Tuesday
2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,KMHEC4A46DA099621,CA,5.0,20,Silver,Gray,hyundai motor america/co car,20300,19900,2014-12-16,Tuesday
2013,Hyundai,Elantra,GLS,Sedan,automatic,KMHDH4AEXDU731797,CA,4.0,21579,Black,Gray,hyundai motor finance,12350,12600,2014-12-16,Tuesday
2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,KMHEC4A40DA092843,CA,45.0,13162,Black,Gray,hyundai motor america/co car,18450,18600,2014-12-16,Tuesday
2013,Hyundai,Elantra,Limited,Sedan,automatic,5NPDH4AE7DH225536,CA,37.0,13871,White,Black,hyundai motor america/co car,15100,15900,2014-12-16,Tuesday
2013,Hyundai,Genesis,3.8,Sedan,automatic,KMHGC4DD7DU226203,CA,43.0,11041,Black,Beige,hyundai motor finance,19800,12500,2014-12-16,Tuesday
2013,Hyundai,Santa Fe,Sport 2.0T,Suv,automatic,5XYZU3LA5DG079070,CA,5.0,66,Silver,Black,hyundai motor america/co car,23100,20800,2014-12-16,Tuesday
2013,Hyundai,Sonata,SE,Sedan,automatic,5NPEC4AC9DH600084,CA,48.0,10241,Blue,Gray,hyundai motor america/co car,15100,16900,2014-12-16,Tuesday
2013,Hyundai,Elantra,GLS,Sedan,automatic,5NPDH4AEXDH317398,CA,1.0,41710,Gray,Gray,enterprise vehicle exchange / tra / rental / tulsa,11150,7700,2014-12-16,Tuesday
2013,Nissan,Altima,2.5,Sedan,automatic,1N4AL3AP6DC903319,CA,2.0,38766,Black,Black,enterprise vehicle exchange / tra / rental / tulsa,12850,12100,2014-12-16,Tuesday
